,name,party,email
404,Pedro Aihara, PATRIOTA,dep.pedroaihara@camara.leg.br
405,Pedro Campos, PSB,dep.pedrocampos@camara.leg.br
406,Pedro Lucas Fernandes, UNIÃO,dep.pedrolucasfernandes@camara.leg.br
407,Pedro Lupion, PP,dep.pedrolupion@camara.leg.br
408,Pedro Paulo, PSD,dep.pedropaulo@camara.leg.br
409,Pedro Uczai, PT,dep.pedrouczai@camara.leg.br
410,Pedro Westphalen, PP,dep.pedrowestphalen@camara.leg.br
411,Pezenti, MDB,dep.pezenti@camara.leg.br
412,Pinheirinho, PP,dep.pinheirinho@camara.leg.br
413,Pompeo de Mattos, PDT,dep.pompeodemattos@camara.leg.br
414,Prof. Paulo Fernando, REPUBLICANOS,dep.profpaulofernando@camara.leg.br
415,Prof. Reginaldo Veras, PV,dep.prof.reginaldoveras@camara.leg.br
416,Professor Alcides, PL,dep.professoralcides@camara.leg.br
417,Professora Goreth, PDT,dep.professoragoreth@camara.leg.br
418,Professora Luciene Cavalcante, PSOL,dep.professoralucienecavalcante@camara.leg.br
419,Rafael Brito, MDB,dep.rafaelbrito@camara.leg.br
420,Rafael Prudente, MDB,dep.rafaelprudente@camara.leg.br
421,Rafael Simoes, UNIÃO,dep.rafaelsimoes@camara.leg.br
422,Raimundo Costa, PODE,dep.raimundocosta@camara.leg.br
423,Raimundo Santos, PSD,dep.raimundosantos@camara.leg.br
424,Reginaldo Lopes, PT,dep.reginaldolopes@camara.leg.br
425,Reginete Bispo, PT,dep.reginetebispo@camara.leg.br
426,Reimont, PT,dep.reimont@camara.leg.br
427,Reinhold Stephanes, PSD,dep.reinholdstephanes@camara.leg.br
428,Renata Abreu, PODE,dep.renataabreu@camara.leg.br
429,Renilce Nicodemos, MDB,dep.renilcenicodemos@camara.leg.br
430,Renildo Calheiros, PCdoB,dep.renildocalheiros@camara.leg.br
431,Ricardo Abrão, UNIÃO,dep.ricardoabrao@camara.leg.br
432,Ricardo Ayres, REPUBLICANOS,dep.ricardoayres@camara.leg.br
433,Ricardo Guidi, PSD,dep.ricardoguidi@camara.leg.br
434,Ricardo Maia, MDB,dep.ricardomaia@camara.leg.br
435,Ricardo Salles, PL,dep.ricardosalles@camara.leg.br
436,Ricardo Silva, PSD,dep.ricardosilva@camara.leg.br
437,Roberta Roma, PL,dep.robertaroma@camara.leg.br
438,Roberto Duarte, REPUBLICANOS,dep.robertoduarte@camara.leg.br
439,Roberto Monteiro, PL,dep.robertomonteiro@camara.leg.br
440,Robinson Faria, PL,dep.robinsonfaria@camara.leg.br
441,Rodolfo Nogueira, PL,dep.rodolfonogueira@camara.leg.br
442,Rodrigo de Castro, UNIÃO,dep.rodrigodecastro@camara.leg.br
443,Rodrigo Estacho, PSD,dep.rodrigoestacho@camara.leg.br
444,Rodrigo Gambale, PODE,dep.rodrigogambale@camara.leg.br
445,Rodrigo Valadares, UNIÃO,dep.rodrigovaladares@camara.leg.br
446,Rogéria Santos, REPUBLICANOS,dep.rogeriasantos@camara.leg.br
447,Rogério Correia, PT,dep.rogeriocorreia@camara.leg.br
448,Romero Rodrigues, PSC,dep.romerorodrigues@camara.leg.br
449,Rosana Valle, PL,dep.rosanavalle@camara.leg.br
450,Rosângela Moro, UNIÃO,dep.rosangelamoro@camara.leg.br
451,Rosângela Reis, PL,dep.rosangelareis@camara.leg.br
452,Roseana Sarney, MDB,dep.roseanasarney@camara.leg.br
453,Rubens Otoni, PT,dep.rubensotoni@camara.leg.br
454,Rubens Pereira Júnior, PT,dep.rubenspereirajunior@camara.leg.br
455,Rui Falcão, PT,dep.ruifalcao@camara.leg.br
456,Ruy Carneiro, PSC,dep.ruycarneiro@camara.leg.br
457,Sâmia Bomfim, PSOL,dep.samiabomfim@camara.leg.br
458,Samuel Viana, PL,dep.samuelviana@camara.leg.br
459,Sanderson, PL,dep.sanderson@camara.leg.br
460,Sargento Fahur, PSD,dep.sargentofahur@camara.leg.br
461,Sargento Gonçalves, PL,dep.sargentogoncalves@camara.leg.br
462,Sargento Portugal, PODE,dep.sargentoportugal@camara.leg.br
463,Saullo Vianna, UNIÃO,dep.saullovianna@camara.leg.br
464,Sergio Souza, MDB,dep.sergiosouza@camara.leg.br
465,Sidney Leite, PSD,dep.sidneyleite@camara.leg.br
466,Silas Câmara, REPUBLICANOS,dep.silascamara@camara.leg.br
467,Silvia Cristina, PL,dep.silviacristina@camara.leg.br
468,Silvia Waiãpi, PL,dep.silviawaiapi@camara.leg.br
469,Silvio Costa Filho, REPUBLICANOS,dep.silviocostafilho@camara.leg.br
470,Silvye Alves, UNIÃO,dep.silvyealves@camara.leg.br
471,Simone Marquetto, MDB,dep.simonemarquetto@camara.leg.br
472,Socorro Neri, PP,dep.socorroneri@camara.leg.br
473,Sonize Barbosa, PL,dep.sonizebarbosa@camara.leg.br
474,Soraya Santos, PL,dep.sorayasantos@camara.leg.br
475,Sóstenes Cavalcante, PL,dep.sostenescavalcante@camara.leg.br
476,Stefano Aguiar, PSD,dep.stefanoaguiar@camara.leg.br
477,Tabata Amaral, PSB,dep.tabataamaral@camara.leg.br
478,Tadeu Veneri, PT,dep.tadeuveneri@camara.leg.br
479,Talíria Petrone, PSOL,dep.taliriapetrone@camara.leg.br
480,Tarcísio Motta, PSOL,dep.tarcisiomotta@camara.leg.br
481,Tenente Coronel Zucco, REPUBLICANOS,dep.tenentecoronelzucco@camara.leg.br
482,Thiago de Joaldo, PP,dep.thiagodejoaldo@camara.leg.br
483,Thiago Flores, MDB,dep.thiagoflores@camara.leg.br
484,Tião Medeiros, PP,dep.tiaomedeiros@camara.leg.br
485,Tiririca, PL,dep.tiririca@camara.leg.br
486,Toninho Wandscheer, PP,dep.toninhowandscheer@camara.leg.br
487,Túlio Gadêlha, REDE,dep.tuliogadelha@camara.leg.br
488,Valmir Assunção, PT,dep.valmirassuncao@camara.leg.br
489,Vander Loubet, PT,dep.vanderloubet@camara.leg.br
490,Vermelho, PL,dep.vermelho@camara.leg.br
491,Vicentinho, PT,dep.vicentinho@camara.leg.br
492,Vicentinho Júnior, PP,dep.vicentinhojunior@camara.leg.br
493,Vinicius Carvalho, REPUBLICANOS,dep.viniciuscarvalho@camara.leg.br
494,Vinicius Gurgel, PL,dep.viniciusgurgel@camara.leg.br
495,Vitor Lippi, PSDB,dep.vitorlippi@camara.leg.br
496,Waldemar Oliveira, AVANTE,dep.waldemaroliveira@camara.leg.br
497,Waldenor Pereira, PT,dep.waldenorpereira@camara.leg.br
498,Washington Quaquá, PT,dep.washingtonquaqua@camara.leg.br
499,Weliton Prado, SOLIDARIEDADE,dep.welitonprado@camara.leg.br
500,Wellington Roberto, PL,dep.wellingtonroberto@camara.leg.br
501,Welter, PT,dep.welter@camara.leg.br
502,Wilson Santiago, REPUBLICANOS,dep.wilsonsantiago@camara.leg.br
503,Yandra Moura, UNIÃO,dep.yandramoura@camara.leg.br
504,Yury do Paredão, PL,dep.yurydoparedao@camara.leg.br
505,Zé Haroldo Cathedral, PSD,dep.zeharoldocathedral@camara.leg.br
506,Zé Neto, PT,dep.zeneto@camara.leg.br
507,Zé Silva, SOLIDARIEDADE,dep.zesilva@camara.leg.br
508,Zé Trovão, PL,dep.zetrovao@camara.leg.br
509,Zé Vitor, PL,dep.zevitor@camara.leg.br
510,Zeca Dirceu, PT,dep.zecadirceu@camara.leg.br
511,Zezinho Barbary, PP,dep.zezinhobarbary@camara.leg.br
